Category,Rank,Title,Price,Rating,Number of Reviews
Movies & TV Shows,#18,Cat People (Full Uncut Version),₹999.00,4.6 out of 5 stars,Nastassja Kinski
Movies & TV Shows,#19,Dhobi Ghat (Mumbai Diaries) - Special Edition,₹890.00,4.2 out of 5 stars,Prateik Babbar
Movies & TV Shows,#20,"The Hateful Eight (Uncut) [Blu-ray/DVD + UltraViolet] (2015) | Imported from USA | Starz/Anchor Bay | 168 min | Region A Locked | Crime Drama Mystery | Director: Quentin Tarantino | Starring: Samuel L. Jackson, Kurt Russell, Jennifer Jason Leigh",N/A,4.7 out of 5 stars,Samuel L. Jackson
Movies & TV Shows,#21,Superman,"₹5,999.00",4.5 out of 5 stars,David Corenswet
Movies & TV Shows,#22,Kachche Dhaage,N/A,3.6 out of 5 stars,"Ajay Devgn, Saif Ali Khan, Manisha Koirala"
Movies & TV Shows,#23,King of Comedy - A Martin Scorsese Film,"₹1,199.00",4.5 out of 5 stars,Robert De Niro
Movies & TV Shows,#24,Top Gun: Maverick,"₹2,499.99",4.8 out of 5 stars,Tom Cruise
Movies & TV Shows,#25,DC: Justice League (Blu-ray 3D) (1-Disc),"₹1,499.00",4.6 out of 5 stars,Ben Affleck
Movies & TV Shows,#26,Eddie The Eagle (2015),₹490.00,4.8 out of 5 stars,Taron Egerton
Movies & TV Shows,#27,Pixels,N/A,4.7 out of 5 stars,Adam Sandler
Movies & TV Shows,#28,Bridget Jones's Baby,₹399.00,4.7 out of 5 stars,Renée Zellweger
Movies & TV Shows,#29,Herbie: Fully Loaded DVD,₹99.00,4.6 out of 5 stars,Lindsay Lohan
Movies & TV Shows,#30,Faltu,₹125.00,2.0 out of 5 stars,Jackky Bhagnani
Music,#1,"Ishq Par Zor Nahin - 3AEX 5254 - SPECIAL DEAL LP Vinyl Record, Lata Mangeshkar, Mohd. Rafi, Sachin Dev Burman","₹1,999.00",N/A,Sachin Dev Burman
Music,#2,DeKulture Call of the Soul Songs CD Indian Folk Music Raza Khan,N/A,5.0 out of 5 stars,Raza Khan
Music,#3,Neon Future - 1,N/A,4.7 out of 5 stars,Steve Aoki
Music,#4,WAR and Other Hits,₹399.00,3.7 out of 5 stars,VARIOUS
Music,#5,"Sitare Zameen Par-Sharmila Tagore ""Ni Main Yaar""",₹198.00,3.8 out of 5 stars,Various Artists
Music,#6,Anusandhan Ogo Badhu Sundari,₹250.00,4.2 out of 5 stars,Lata Mangeshkar
